name,disease_target,composition,suitable_for,price,effectiveness_score,availability
D-Cold SR,Seasonal Flu,"[{'ingredient': 'Paracetamol', 'mg': 475, 'percentage': 100.0}]","['Adult', 'Senior']",93.22,0.7131,True
Digoxin,Heart Failure,"[{'ingredient': 'Digoxin', 'mg': 0.103, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2708.38,0.764,True
Ropinirole Plus,Parkinson's Disease,"[{'ingredient': 'Ropinirole HCl', 'mg': 3.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",479.41,0.775,False
Spironolactone,Heart Failure,"[{'ingredient': 'Spironolactone', 'mg': 35, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2469.77,0.7928,True
Aprepitant OD,Chemotherapy Nausea,"[{'ingredient': 'Aprepitant', 'mg': 98, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",780.41,0.6003,True
Colchicine,Gout,"[{'ingredient': 'Colchicine', 'mg': 0.816, 'percentage': 100.0}]",['Adult'],415.69,0.9517,True
Diclofenac OD,Arthritis,"[{'ingredient': 'Diclofenac Sodium', 'mg': 80, 'percentage': 100.0}]","['Adult', 'Senior']",1427.49,0.9355,True
Olanzapine,Bipolar Disorder,"[{'ingredient': 'Olanzapine', 'mg': 6.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",460.45,0.6011,True
Tramadol XR,Chronic Pain,"[{'ingredient': 'Tramadol HCl', 'mg': 105, 'percentage': 100.0}]",['Adult'],1226.12,0.8869,True
Tacrolimus Plus,Eczema,"[{'ingredient': 'Tacrolimus', 'mg': 0.059, 'percentage': 100.0}]","['Adult', 'Senior']",2302.75,0.8245,True
Fingolimod CR,Multiple Sclerosis,"[{'ingredient': 'Fingolimod HCl', 'mg': 0.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",5860.25,0.5964,True
Clobetasol CR,Eczema,"[{'ingredient': 'Clobetasol Propionate', 'mg': 0.5, 'percentage': 100.0}]","['Adult', 'Senior']",1443.38,0.9072,True
Propanorm OD,Migraine,"[{'ingredient': 'Propranolol', 'mg': 42, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",535.72,0.7905,True
Carbimazole,Hyperthyroidism,"[{'ingredient': 'Carbimazole', 'mg': 12.0, 'percentage': 100.0}]",['Senior'],313.69,0.8536,True
Insulin NPH,Type 1 Diabetes,"[{'ingredient': 'Isophane Insulin', 'mg': 100, 'percentage': 100.0}]",['Child'],2954.02,0.9623,True
Prazosin,PTSD,"[{'ingredient': 'Prazosin HCl', 'mg': 9.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",555.78,0.8872,True
Sertraline OD,Major Depressive Disorder,"[{'ingredient': 'Sertraline HCl', 'mg': 155, 'percentage': 100.0}]",['Adult'],828.85,0.5823,True
Levofloxacin 500mg,Bronchitis,"[{'ingredient': 'Levofloxacin', 'mg': 320, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",398.22,0.5855,True
Mebeverine,Irritable Bowel Syndrome,"[{'ingredient': 'Mebeverine HCl', 'mg': 160, 'percentage': 100.0}]",['Adult'],209.65,0.6216,True
Eplerenone,Heart Failure,"[{'ingredient': 'Eplerenone', 'mg': 29, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2780.07,0.8442,True
Itraconazole 1000mg,Fungal Infection,"[{'ingredient': 'Itraconazole', 'mg': 180, 'percentage': 100.0}]","['Adult', 'Senior']",360.35,0.5651,True
Montelukast 250mg,Asthma,"[{'ingredient': 'Montelukast Sodium', 'mg': 8.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",572.47,0.6502,True
Valproate CR,Bipolar Disorder,"[{'ingredient': 'Sodium Valproate', 'mg': 345, 'percentage': 100.0}]","['Adult', 'Senior']",220.73,0.7717,False
Orlistat 1000mg,Obesity,"[{'ingredient': 'Orlistat', 'mg': 77, 'percentage': 100.0}]","['Adult', 'Senior']",129.2,0.6526,True
Febuxostat Plus,Gout,"[{'ingredient': 'Febuxostat', 'mg': 63, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",289.56,0.8072,True
Hydroxychloroquine,Arthritis,"[{'ingredient': 'Hydroxychloroquine', 'mg': 345, 'percentage': 100.0}]","['Adult', 'Senior']",350.88,0.671,True
Venlafaxine,PTSD,"[{'ingredient': 'Venlafaxine HCl', 'mg': 77, 'percentage': 100.0}]",['Child'],599.98,0.7518,True
Levofloxacin CR,Pneumonia,"[{'ingredient': 'Levofloxacin', 'mg': 565, 'percentage': 100.0}]",['Adult'],1508.46,0.8922,False
Methotrexate,Psoriasis,"[{'ingredient': 'Methotrexate', 'mg': 8.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",6661.3,0.8814,False
Adalimumab SR,Psoriasis,"[{'ingredient': 'Adalimumab', 'mg': 67, 'percentage': 100.0}]","['Adult', 'Senior']",14325.54,0.6298,True
Seretide,Asthma,"[{'ingredient': 'Salmeterol', 'mg': 25, 'percentage': 9.1}, {'ingredient': 'Fluticasone', 'mg': 250, 'percentage': 90.9}]","['Adult', 'Senior']",648.44,0.903,True
Umeclidinium,COPD,"[{'ingredient': 'Umeclidinium Bromide', 'mg': 62, 'percentage': 100.0}]",['Senior'],659.25,0.5121,True
Calcium+VitD,Osteoporosis,"[{'ingredient': 'Calcium Carbonate', 'mg': 635, 'percentage': 62.0}, {'ingredient': 'Cholecalciferol', 'mg': 390, 'percentage': 38.0}]",['Adult'],2809.04,0.9296,True
Hydrochlorothiazide,Hypertension,"[{'ingredient': 'Hydrochlorothiazide', 'mg': 17.0, 'percentage': 100.0}]",['Child'],763.65,0.8244,True
Bisoprolol 250mg,Heart Failure,"[{'ingredient': 'Bisoprolol Fumarate', 'mg': 5.0, 'percentage': 100.0}]","['Child', 'Adult']",1150.3,0.5341,True
Melatonin 500mg,Insomnia,"[{'ingredient': 'Melatonin', 'mg': 5.0, 'percentage': 100.0}]",['Child'],396.87,0.6983,True
GnRH Agonist,Endometriosis,"[{'ingredient': 'Leuprolide Acetate', 'mg': 3.0, 'percentage': 100.0}]","['Adult', 'Senior']",816.6,0.9553,True
Spironolactone OD,Heart Failure,"[{'ingredient': 'Spironolactone', 'mg': 46, 'percentage': 100.0}]",['Senior'],2377.89,0.6946,True
Lidocaine Patch OD,Lower Back Pain,"[{'ingredient': 'Lidocaine', 'mg': 565, 'percentage': 100.0}]","['Adult', 'Senior']",636.44,0.6688,True
Galantamine 500mg,Alzheimer's Disease,"[{'ingredient': 'Galantamine HBr', 'mg': 22, 'percentage': 100.0}]","['Child', 'Adult']",5838.57,0.9358,True
Cyclobenzaprine 250mg,Fibromyalgia,"[{'ingredient': 'Cyclobenzaprine HCl', 'mg': 9.5, 'percentage': 100.0}]",['Child'],476.41,0.5767,False
Sertraline,PTSD,"[{'ingredient': 'Sertraline HCl', 'mg': 95, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",529.69,0.9502,True
Ciprofloxacin Eye,Conjunctivitis,"[{'ingredient': 'Ciprofloxacin HCl', 'mg': 3.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",33.66,0.6693,False
Sertraline,Major Depressive Disorder,"[{'ingredient': 'Sertraline HCl', 'mg': 62, 'percentage': 100.0}]",['Child'],308.17,0.9134,True
Amlodipine Plus,Angina,"[{'ingredient': 'Amlodipine Besylate', 'mg': 5.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",91.23,0.7339,True
Spironolactone 500mg,Heart Failure,"[{'ingredient': 'Spironolactone', 'mg': 29, 'percentage': 100.0}]",['Senior'],469.71,0.9574,True
Omeprazole,Gastritis,"[{'ingredient': 'Omeprazole', 'mg': 30, 'percentage': 100.0}]",['Adult'],119.82,0.8158,True
Paliperidone,Schizophrenia,"[{'ingredient': 'Paliperidone', 'mg': 6.0, 'percentage': 100.0}]","['Adult', 'Senior']",940.86,0.5169,True
Spironolactone,Polycystic Ovary Syndrome,"[{'ingredient': 'Spironolactone', 'mg': 135, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",760.97,0.6018,True
Fingolimod,Multiple Sclerosis,"[{'ingredient': 'Fingolimod HCl', 'mg': 0.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",7711.87,0.5423,True
